id,link_do_podrobnosti,ime,datum,cena,opis,lokacija
10124073,http://www.bolha.com/macke-brez-rodovnika/ruska-modra-macka-oglas-10124073,Ruska Modra macka,20. 10. 2022,Cena po dogovoru,"Prodam mladičke Ruske Modre mačke. Mladički bodo za oddajo decembra ali januarja. Ruska Modra macka je premirna tudi za elergike saj ne pušča veliko dlake, so zelo pametne, radovedne in igrive. Marsikaj jih lahko naučite. Za več info me prosim kontaktirajte.","Ljubljana Šiška, Šiška"
10127271,http://www.bolha.com/macke-z-rodovnikom/britanka-z-fife-slovenskim-rodovnikom-britanska-macka-britanke-oglas-10127271,"Britanka z Fife slovenskim rodovnikom, britanska mačka, britanke",20. 10. 2022,1.100,"Smo vzrejališče pasemskih britank Kiki cattery iz Celja, delujemo že 15 let pod okriljem Felinoloskega drustva Ljubljana 031 664 027 info@kikicattery.info vzrediteljica Nataša Vrečko. Vse nase mucke imajo opravljena vsa obvezna in priporocljive teste, kar pomeni, da so vzrejne mucke redno cepljene in veterinarsko oskrbovane, hranjene z surovim mesom ter kakovostno mačjo hrano. Vsi naši mladički so redno veterinarsko oskrbovani, hranjeni z surovim mesom ter kakovostno mačjo hrano in oskrbovani vsaj do 14 tedna starosti IN NE PREJ!!!. Zatorej imate v nadomestilo pasemskega mladička vključen strošek oskrbnine do 14 tedna starosti ,Fife rodovnik izdan pod okriljem Felinološkega društva Slovenije, potni list, čipiranje, DVAKRATNO trivalentno cepljenja , veterinarskega pregleda in veterinarskega POTRDILO v pisni obliki, in strošek kastracije/ sterilizacije. Trenutno imamo nova legla mladičkov pasemskih britank, v modri ,lila, čokoladni in modri bicolour barvi , rezervacije so odprti in jih sprejemamo tako za omenjena mladičke, kot za prihajajoča legla.. Vsem mladičkom bo pripadal Fife rodovnik, lastno veterinarsko potrdilo, potni list, čip, kastracija sterilizacija, dve cepljenji , Fife rodovnik in oskrbnina do vsaj 3,5 meseca starosti. Vabljeni, da nas pokličete na 031 664 027 in si rezervirate želenega. Spremljate nas lahko na spletni strani mačkarne WWW.KIKICATTERY.INFO ali na fb strani VZREJALIŠČE PASEMSKIH BRITANK KIKI CATTERY https://www.facebook.com/kikicattery.britanka in BRITANKA MLADIČKI IN ODRASLE PASEMSKE BRITANSKE MAČKE, kjer nas je že 4t članov. POZOR!!! Vidim, da se je DVORIŠNIH REJCEV, razpaslo v času korone, več, kot kdaj koli poprej. Vedite, da so TO NENADZOROVANE REJE oseb, ki v VEČINI nimajo nikakršnega predhodnega znanja o vzrediteljsvu in parjenju zivali glede na prenosljive bolezni, dovoljene barvne kombinacije parjenja in podobno....NE NASEDAJTE NA CENEJSE CENE, MUCKI SO PASEMSKI LE, ČE IMAJO TUDI ONI RODOVNIK!!! Kar pomeni predvsem ZDRAVO PASEMSKO MUCKO, genetsko pregledanih staršev ter prenos karakteristike videza in obnašanja mucka.","Celje, Celje"
10111605,http://www.bolha.com/macke-brez-rodovnika/prodamo-4-male-mucke-oglas-10111605,Prodamo mucka,17. 10. 2022,Cena po dogovoru,"Prodamo mucka- samčka. Skoten je bil 18.8.2022. Ni še cepljeni in nima rodovnika. Je zelo crkljiv in igrivi. Navajen je že na mačji wc in že samostojno je. Možno ga je prevzeti v tem in naslednjem tednu. V kolikor vas zanima , lahko svojo ponudbo napišete na mail jana.arnsek@gmail.com.","Ljubljana Bežigrad, Črnuče"
10072292,http://www.bolha.com/macke-z-rodovnikom/maine-coon-samicki-rodovnik-poly-tacke-oglas-10072292,Maine coon samički (rodovnik),16. 10. 2022,700,"Na voljo sta 2 rodovniški maine coon samički z polydactly tačkami. Starša imata opravljene obvezne in neobvezne zdr. Teste.  Polydactly tačke pomeni, da imasta mucki na tačkah 1-2 prstka več, kar naredi šape ogromne. To jim je v divjini pomagalo pri lovu, ravnotežju in hoji po snegu. Polydactly tačke dokazano nimajo negativnega vpliva na mucka, razen da izgledajo zelo cool :) Mucki sta vajena psov, otrok, kopanja, praskalnika, uporabe mačjega stranišča itd. Rodovnik, kateri je že izdelan in se ga ob ogledu lahko vidi, prejmete ob opravljeni sterilizaciji pri 6 mesecih starosti. *Možen nakup z vzrejnim dovoljenjem* Mucki bosta: 2x cepljeni, čipirani+potni list, razgliščengi/razbolhani, vet. Pregledani z spričevalom, tica rodovnik, pogodba, paket hrane in igračk. Radovljica (možna dostava mucka na dom) Tel. 051 693 105 katja (Če se ne oglasim, pošljite sms in vas pokličem nazaj)","Radovljica, Radovljica"
10073602,http://www.bolha.com/macke-z-rodovnikom/britanka-z-fife-slovenskim-rodovnikom-britanska-macka-britanke-oglas-10073602,"Britanka z Fife slovenskim rodovnikom, britanska mačka, britanke",08. 10. 2022,1.100,"Trenutno imamo nova legla mladičkov pasemskih britank, v modri ,lila, čokoladni in modri bicolour barvi , rezervacije so odprti in jih sprejemamo tako za omenjena mladičke, kot za prihajajoča legla.. Vsem mladičkom bo pripadal Fife rodovnik, lastno veterinarsko potrdilo, potni list, čip, kastracija sterilizacija, dve cepljenji , Fife rodovnik in oskrbnina do vsaj 3,5 meseca starosti. Vabljeni, da nas pokličete na 031 664 027 in si rezervirate želenega. Smo vzrejališče pasemskih britank Kiki cattery iz Celja, delujemo že 15 let pod okriljem Felinoloskega drustva Ljubljana 031 664 027 info@kikicattery.info vzrediteljica Nataša Vrečko. Vse nase mucke imajo opravljena vsa obvezna in priporocljive teste, kar pomeni, da so vzrejne mucke redno cepljene in veterinarsko oskrbovane, hranjene z surovim mesom ter kakovostno mačjo hrano. Vsi naši mladički so redno veterinarsko oskrbovani, hranjeni z surovim mesom ter kakovostno mačjo hrano in oskrbovani vsaj do 14 tedna starosti IN NE PREJ!!!. Zatorej imate v nadomestilo pasemskega mladička vključen strošek oskrbnine do 14 tedna starosti ,Fife rodovnik izdan pod okriljem Felinološkega društva Slovenije, potni list, čipiranje, DVAKRATNO trivalentno cepljenja , veterinarskega pregleda in veterinarskega POTRDILO v pisni obliki, in strošek kastracije/ sterilizacije. Spremljate nas lahko na spletni strani mačkarne WWW.KIKICATTERY.INFO ali na fb strani VZREJALIŠČE PASEMSKIH BRITANK KIKI CATTERY https://www.facebook.com/kikicattery.britanka in BRITANKA MLADIČKI IN ODRASLE PASEMSKE BRITANSKE MAČKE, kjer nas je že 4t članov. POZOR!!! Vidim, da se je DVORIŠNIH REJCEV, razpaslo v času korone, več, kot kdaj koli poprej. Vedite, da so TO NENADZOROVANE REJE oseb, ki v VEČINI nimajo nikakršnega predhodnega znanja o vzrediteljsvu in parjenju zivali glede na prenosljive bolezni, dovoljene barvne kombinacije parjenja in podobno....NE NASEDAJTE NA CENEJSE CENE, MUCKI SO PASEMSKI LE, ČE IMAJO TUDI ONI RODOVNIK!!! Kar pomeni predvsem ZDRAVO PASEMSKO MUCKO, genetsko pregledanih staršev ter prenos karakteristike videza in obnašanja mucka.","Celje, Celje"
10066029,http://www.bolha.com/macke-z-rodovnikom/maine-coon-mladicki-z-rodovnikom-oglas-10066029,Maine Coon mladički (z rodovnikom),06. 10. 2022,700,"V naši mačkarni se nam je 30.6.2022 skotilo 5 mladičkov pasme Maine Coon (4 samčki in 1 samička), leglo je registrirano pri ZFDS (FIFe). Iz leve proti desni: Sirius Black (M), Dumbledore (M), Hermione (Ž), Harry (M), Ron (M). Mladički so mikročipirani, veterinarsko pregledan, dvakrat cepljeni proti kužnim boleznim (tudi proti levkozi) ter večkrat razgliščeni. Pred odhodom v nov dom, bodo v skladu z dogovorom z novimi lastniki, tudi kastrirani/sterilizirani. Novi lastniki ob oddaji prejmejo potni list, začetni paketek, ki vsebuje suho in mokro hrano ter igračke. Rodovnik prejmete, ko ga izda ZFDS. Prepis na novega lastnika pa se uredi o predaji mladička. Mladički so na voljo za rezervacijo, za odhod v nov dom bodo pripravljeni konec oktobra. Vsi mucki v leglu so že naučeni na uporabo mačjega WC-ja, so dobro socializirani (že zelo razvajeni), zato iščemo le notranji dom s kvalitetno oskrbo. Starša sta uvožena iz tujine in imata opravljene vse zahtevane zdravstvene teste (pregled kolkov OFA, ter ultrazvok srca), stari starši pa imajo opravljene tudi genske teste za HCM,PKD,PKDef,SMA (vse teste je možno videti ob ogledu). Več info. na telefonski št. 070 154 661 ali 070 668 126 (kličite le resni!)","Slovenj Gradec, Sele"
10133513,http://www.bolha.com/macke-podarim/oddamo-6-muckov-oglas-10133513,Oddamo 6 muckov,21. 10. 2022,0,Mucki so stari 2 meseca. Kontakt: 041 312 155 - Jernej,"Sevnica, Kompolje"
10099179,http://www.bolha.com/macke-brez-rodovnika/maine-coone-oglas-10099179,Maine coone,21. 10. 2022,Cena po dogovoru,"Krasno leglo 3 mesečnih maine coonov prodamo. 2 samčka Black smokey barve in 3 samičke . Mucki so nadvse ljubljeni, lepo vzgojeni in že navajeni na določene ukaze. Njihova dlaka je antialergena, imajo karakter psa in so zelo odvisni od družbe človeka. Najbolj ugoden dom zanje je ob osebah, ki si zanje vzamejo veliko časa in jim lahko omogočijo izbrano hrano, ki jo potrebujejo za ustrezen razvoj. Mladički so razglisceni, razbolhani, cepljeni proti kuznim boleznim in 2x veterinarsko pregledani. Na vpogled sta tudi oba starša, ki sta doma. Smo iz Medvod. Mucki nimajo rodovnika! Moj telefon je 068195595. Maja","Medvode, Verje"
10132500,http://www.bolha.com/macke-podarim/cudovita-bela-pikica-oglas-10132500,Čudovita bela Pikica,21. 10. 2022,0,"*pomagamo pri oddaji* Naša mala Pikica išče svoj za vedno domek. Najdena je bila dobesedno sredi ceste nezavedajoč se nevarnosti avtomobilov, ki so vozili mimo nje. Pikica namreč ne sliši. Je izredno crkljiva, nežna a hkrati igriva in zgovorna. Glede na to se išče oseba z izkušnjami z mačkami, z veliko ljubezni in razumevanjem in sprejemanjem njene drugačnosti. Išče dom kjer bo sama, saj se ne razume najbolje z drugimi mačkami in posvojitelja, ki bo tako imel tudi dovolj časa za igro z njo. Ker je preden smo jo našli imela tudi izhode ven, se je na to žal navadila, tako da je obvezen pogoj zamrežen balkon (trda mreža), kot ga je imela do sedaj. Stara je približno 5 let, je sterilizirana, negativna na FIV in Felv in ker je že kar precej dolgo v začasnem domu bi si želela čim prej odtačkati v svoj za vedno domek. kontakt Alma: 040 707 157 (prosim pošljite sms)","Šenčur, Šenčur"
10132496,http://www.bolha.com/macke-podarim/simpaticna-grega-tomi-oglas-10132496,Simpatična Grega &amp; Tomi,21. 10. 2022,0,"*pomagamo pri oddaji* Tigrasti Tomi in sivo-beli Grega sta simpatična mucka, ki sta bila najdena v Ljubljani. Skupaj sta že od prvega dne, zato obožujeta drug drugega in tudi ostalo mačjo družbo. Rada se igrata, sta (kot vsi mladički) polna energije, ampak ko je čas za počitek, pa se tudi znata udobno namestiti, se pocrkljati, dati kakšnega poljubčka in se v varnem in toplem objemu stisniti k počitku. Plezala, žogice, trakci in perje so njuna obvezna oprema pri igranju. Oba sta razglistana, razbolhana, testirana na Felv in FIV, čipirana ter kastrirana. Iščeta notranji dom z varnimi izhodi v zunanje okolje, najraje pa kar v paru, saj sta zelo navezana drug na drugega. Kontakt: Matjaž – 041 326 087","Šenčur, Šenčur"
